// Level (STAGE 0)
09 04 04 0c 04 03 05 06 04 04 0c 04 07 05 06 08 04 04 09 04
13 04 04 04 04 0d 0f 10 04 04 04 04 04 0f 10 04 04 04 13 04
1d 04 04 04 04 04 19 1a 04 0b 04 04 04 19 1a 04 04 15 1d 04
00 01 02 00 01 02 00 01 02 00 01 02 00 01 02 00 01 02 00 01
14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 0a 14 0a 14
0a 14 0a 14 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a
14 0a 14 0a 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14
0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a
0a 14 0a 14 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a
14 0a 14 0a 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14
0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a
14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 0a 14 0a 14
0a 14 0a 14 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a
14 0a 14 0a 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14
0a 14 14 0a 14 0a 0a 14 0a 14 14 0a 14 0a 0a 14 0a 14 14 0a

// Shop (STAGE 1)
1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 0c 0c 0c 0c 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 0c 0c 0c 0c 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 0c 0c 0c 0c 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
46 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 4B




// Win Menu (STAGE 2)
1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 0c 2D
32 33 34 33 34 0c 34 33 34 33 34 0c 34 33 34 33 34 0c 34 37
28 29 2A 29 2A 29 0c 29 2A 29 0c 29 0c 29 2A 29 0c 29 2A 2D
32 33 34 33 34 33 34 0c 34 0c 34 33 34 0c 34 0c 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 0c 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
46 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 4B

// Loss Menu (STAGE 3)
1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 0c 0c 0c 0c 0c 0c 0c 0c 0c 0c 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
46 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 4B

// Main Menu (STAGE 4)
1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 0c 0c 2A 29 2A 29 2A 29 2A 0c 0c 29 2A 29 2A 29 2A 2D
32 33 0c 33 0c 33 34 33 34 33 0c 33 0c 33 34 33 34 33 34 37
28 29 0c 29 0c 29 2A 29 2A 29 0c 29 0c 29 2A 29 2A 29 2A 2D
32 33 0c 33 34 0c 34 33 34 0c 34 33 0c 33 34 33 34 33 34 37
28 29 0c 29 2A 0c 2A 29 2A 0c 2A 29 0c 29 2A 29 2A 29 2A 2D
32 33 0c 33 34 33 0c 33 0c 33 34 33 0c 33 34 33 34 33 34 37
28 29 0c 29 2A 29 0c 29 0c 29 2A 29 0c 29 2A 29 2A 29 2A 2D
32 33 0c 33 34 33 34 0c 34 33 34 33 0c 33 34 33 34 33 34 37
28 29 0c 29 2A 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 2D
32 33 0c 33 34 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 37
28 29 0c 29 2A 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 2D
46 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 4B

// Game End (STAGE 5)
1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 0c 0c 0c 0c 0c 0c 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 0c 0c 0c 0c 0c 0c 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 29 2A 29 2A 29 2A 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 0c 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 0c 0c 0c 0c 0c 0c 0c 29 2A 29 2A 2D
32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
46 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 49 4A 47 48 4B


// Clean Menu:
// 1E 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 21 22 1F 20 23
// 28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
// 32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
// 28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
// 32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
// 28 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 29 2A 2D
// 32 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 33 34 37
